Indicator,"Opioid-related and other drug poisoning deaths per 100,000 people, by drug type"
Source,"Centers for Disease Control and Prevention, National Center for Health Statistics via CDC WONDER Database.<br />
<br />
Suggested Citation:<br />
<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE].<br />
<div><br />
</div>"
Notes,"Age-adjusted rates of drug-poisoning deaths, including those associated with certain opioids (natural and semi-synthetic opioids [e.g., hydrocodone, oxycodone], synthetic opioids [e.g., fentanyl], and heroin), and other selected drugs. Rates and standard errors obtained from the CDC WONDER Database using ICD-10 underlying cause-of-death codes X40&ndash;X44 (unintentional death), X60&ndash;X64 (suicide), X85 (homicide), and Y10&ndash;Y14 (death of undetermined intent) with multiple cause-of-death codes of T40.2 (other opioids [i.e., natural and semi-synthetic opioids]), T40.4 (other synthetic opioids [i.e., those other than methadone]), T40.1 (heroin), T40.5 (cocaine) and T43.6 (psychostimulants with abuse potential). Excluded opioids include T40.0 (opiuim), T40.3 (methadone), T40.6 (other or unspecified opioids). Deaths from these types of drugs are not mutually exclusive (e.g., an overdose death may involve both heroin and synthetic opioids); because of that, death rates cannot be accurately summed across categories for a total rate. N/A indicates that data are suppressed because the rate is based on 20 or fewer deaths. In some years, deaths related to specific drugs may be under-reported because of an unusually high number of death certificates with a cause listed as "pending" (e.g., Ohio and West Virginia in 2009). More information is available&nbsp;<a href="https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_03.pdf">here</a>."
Description,"<div><span style="font-size: 18px;">Age-adjusted rates of deaths caused by drug poisoning (i.e., overdose), including those caused by natural and semi-synthetic opioids, synthetic opioids (non-methadone), the illegal opioid heroin, cocaine, and psychostimulants.</span></div>
<div><span style="font-size: 18px;"><br />
</span></div>
<div><span style="font-size: 18px;">Natural and semi-synthetic opioids &ndash; This category includes common prescription painkiller pills (e.g., hydrocodone and oxycodone). It includes deaths from painkillers that were legitimately manufactured, prescribed and sold, as well as those that may have been improperly prescribed or diverted from their intended source. It also may include deaths from &ldquo;counterfeit&rdquo; painkiller pills that were illicitly trafficked.</span></div>
<div><span style="font-size: 18px;"><br />
</span></div>
<div><span style="font-size: 18px;">Synthetic opioids &ndash; This category include synthetic opioids (e.g., fentanyl). However, it excludes methadone, a synthetic opioid that is used both as a painkiller and as a U.S. Food and Drug Administration-approved medication for treating opioid use disorder. It includes deaths from synthetic that were legitimately manufactured, prescribed and sold, as well as those that may have been improperly prescribed or diverted from their intended source. It also includes deaths from illicitly trafficked synthetic opioids, which may be sold inaccurately (i.e., sold as heroin when it actually is fentanyl) or combined with other drugs (i.e., mixed into heroin or counterfeit painkiller pills to increase their potency).</span></div>
<div><span style="font-size: 18px;"><br />
</span></div>
<div><span style="font-size: 18px;">Heroin &ndash; This category includes only heroin, which has no legal medical use in the United States and is exclusively trafficked illicitly. However, heroin may be mixed with other drugs (e.g., synthetic opioids).</span></div>
<div><span style="font-size: 18px;"><br />
</span></div>
23,Maine,Heroin,1999,"Rate per 100,000",N/A,N/A
24,Maryland,Heroin,1999,"Rate per 100,000",N/A,N/A
25,Massachusetts,Heroin,1999,"Rate per 100,000",N/A,0.127509001479999
26,Michigan,Heroin,1999,"Rate per 100,000",0.39342,0.124089640359999
27,Minnesota,Heroin,1999,"Rate per 100,000",N/A,N/A
28,Mississippi,Heroin,1999,"Rate per 100,000",N/A,N/A
29,Missouri,Heroin,1999,"Rate per 100,000",0.87836,0.24851033647999901
30,Montana,Heroin,1999,"Rate per 100,000",N/A,N/A
31,Nebraska,Heroin,1999,"Rate per 100,000",N/A,N/A
32,Nevada,Heroin,1999,"Rate per 100,000",2.1575,0.64632437072000004
33,New Hampshire,Heroin,1999,"Rate per 100,000",N/A,N/A
34,New Jersey,Heroin,1999,"Rate per 100,000",2.42391,0.33089588671999898
35,New Mexico,Heroin,1999,"Rate per 100,000",1.24763,0.52138223620000002
36,New York,Heroin,1999,"Rate per 100,000",0.22855,7.0997297560000006E-2
37,North Carolina,Heroin,1999,"Rate per 100,000",0.5276,0.1582118468
38,North Dakota,Heroin,1999,"Rate per 100,000",N/A,N/A
39,Ohio,Heroin,1999,"Rate per 100,000",0.47339,0.12796653408
40,Oklahoma,Heroin,1999,"Rate per 100,000",N/A,N/A
41,Oregon,Heroin,1999,"Rate per 100,000",1.90082,0.46267292539999899
42,Pennsylvania,Heroin,1999,"Rate per 100,000",1.51759,0.220777434079999
44,Rhode Island,Heroin,1999,"Rate per 100,000",N/A,N/A
45,South Carolina,Heroin,1999,"Rate per 100,000",N/A,N/A
46,South Dakota,Heroin,1999,"Rate per 100,000",N/A,N/A
47,Tennessee,Heroin,1999,"Rate per 100,000",N/A,0.114846125519999
48,Texas,Heroin,1999,"Rate per 100,000",0.52819,0.10085451656
49,Utah,Heroin,1999,"Rate per 100,000",2.79061,0.75365138939999898
50,Vermont,Heroin,1999,"Rate per 100,000",N/A,N/A
51,Virginia,Heroin,1999,"Rate per 100,000",0.87401,0.21268915891999901
53,Washington,Heroin,1999,"Rate per 100,000",0.92884,0.24124452828000001
54,West Virginia,Heroin,1999,"Rate per 100,000",N/A,N/A
55,Wisconsin,Heroin,1999,"Rate per 100,000",N/A,0.14591071039999901
56,Wyoming,Heroin,1999,"Rate per 100,000",N/A,N/A
US,United States,Heroin,1999,"Rate per 100,000",0.70722,3.1435589360000002E-2
01,Alabama,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,0.14244341159999999
02,Alaska,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,0.93467219132000001
04,Arizona,Natural and semi-synthetic opioids,1999,"Rate per 100,000",1.65195,0.3651242938
05,Arkansas,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
06,California,Natural and semi-synthetic opioids,1999,"Rate per 100,000",2.82565,0.181955765039999
08,Colorado,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.9529,0.28984747931999999
09,Connecticut,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,0.18413750179999999
10,Delaware,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
11,Dist. of Columbia,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
12,Florida,Natural and semi-synthetic opioids,1999,"Rate per 100,000",1.01434,0.16011580647999901
13,Georgia,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.32389,0.12539814616
15,Hawaii,Natural and semi-synthetic opioids,1999,"Rate per 100,000",1.78351,0.74577728344000005
16,Idaho,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,0.52246563796000001
17,Illinois,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.34061,0.10193533308
18,Indiana,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,0.12837001183999999
19,Iowa,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
20,Kansas,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,0.24895371004
21,Kentucky,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.86504,0.28666358279999898
22,Louisiana,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,0.151208806
23,Maine,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
24,Maryland,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
25,Massachusetts,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.44767,0.1609257412
26,Michigan,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.35082,0.11653507320000001
27,Minnesota,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.40045,0.17661061180000001
28,Mississippi,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
29,Missouri,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.37435,0.16422341767999901
30,Montana,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
31,Nebraska,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
32,Nevada,Natural and semi-synthetic opioids,1999,"Rate per 100,000",4.05448,0.8906706284
33,New Hampshire,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,0.64659591108000003
34,New Jersey,Natural and semi-synthetic opioids,1999,"Rate per 100,000",1.12224,0.22736526259999901
35,New Mexico,Natural and semi-synthetic opioids,1999,"Rate per 100,000",6.35855,1.1779907974799899
36,New York,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.23285,6.6680483799999898E-2
37,North Carolina,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.64781,0.17647116759999901
38,North Dakota,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
39,Ohio,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.65327,0.14943653284
40,Oklahoma,Natural and semi-synthetic opioids,1999,"Rate per 100,000",1.50751,0.41798451184000002
41,Oregon,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.76306,0.29375501764
42,Pennsylvania,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.66234,0.14649308912
44,Rhode Island,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
45,South Carolina,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.58464,0.23917614811999999
46,South Dakota,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
47,Tennessee,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.77559,0.22937270439999899
48,Texas,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.56105,0.102340568959999
49,Utah,Natural and semi-synthetic opioids,1999,"Rate per 100,000",4.90531,1.0034597162800001
50,Vermont,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
51,Virginia,Natural and semi-synthetic opioids,1999,"Rate per 100,000",1.4912,0.28168581783999902
53,Washington,Natural and semi-synthetic opioids,1999,"Rate per 100,000",1.62461,0.32361823619999902
54,West Virginia,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
55,Wisconsin,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.74085,0.22971104547999999
56,Wyoming,Natural and semi-synthetic opioids,1999,"Rate per 100,000",N/A,N/A
US,United States,Natural and semi-synthetic opioids,1999,"Rate per 100,000",0.98359,3.6903464079999899E-2
01,Alabama,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
02,Alaska,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
04,Arizona,Psychostimulants,1999,"Rate per 100,000",0.54553,0.20668855309486389
05,Arkansas,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
06,California,Psychostimulants,1999,"Rate per 100,000",0.69839,9.1043658554553986E-2
08,Colorado,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
09,Connecticut,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
10,Delaware,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
11,Dist. of Columbia,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
12,Florida,Psychostimulants,1999,"Rate per 100,000",0.16686,6.9667540490627289E-2
13,Georgia,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
15,Hawaii,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
16,Idaho,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
17,Illinois,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
18,Indiana,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
19,Iowa,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
20,Kansas,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
21,Kentucky,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
22,Louisiana,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
23,Maine,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
24,Maryland,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
25,Massachusetts,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
26,Michigan,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
27,Minnesota,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
28,Mississippi,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
29,Missouri,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
30,Montana,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
31,Nebraska,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
32,Nevada,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
33,New Hampshire,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
34,New Jersey,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
35,New Mexico,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
36,New York,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
37,North Carolina,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
38,North Dakota,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
39,Ohio,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
40,Oklahoma,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
41,Oregon,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
42,Pennsylvania,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
44,Rhode Island,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
45,South Carolina,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
46,South Dakota,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
47,Tennessee,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
48,Texas,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
49,Utah,Psychostimulants,1999,"Rate per 100,000",1.15926,0.4795917272567749
50,Vermont,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
51,Virginia,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
53,Washington,Psychostimulants,1999,"Rate per 100,000",0.77536,0.22184073925018311
54,West Virginia,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
55,Wisconsin,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
56,Wyoming,Psychostimulants,1999,"Rate per 100,000",N/A,N/A
US,United States,Psychostimulants,1999,"Rate per 100,000",0.19888,1.6871489584445953E-2
01,Alabama,Synthetic opioids,1999,"Rate per 100,000",N/A,0.13520659375999899
02,Alaska,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
04,Arizona,Synthetic opioids,1999,"Rate per 100,000",0.46816,0.19655418216000001
05,Arkansas,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
06,California,Synthetic opioids,1999,"Rate per 100,000",0.27058,5.756917684E-2
08,Colorado,Synthetic opioids,1999,"Rate per 100,000",0.49623,0.21544915251999899
09,Connecticut,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
10,Delaware,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
11,Dist. of Columbia,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
12,Florida,Synthetic opioids,1999,"Rate per 100,000",0.3934,0.10093037639999899
13,Georgia,Synthetic opioids,1999,"Rate per 100,000",N/A,8.6407807360000005E-2
15,Hawaii,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
16,Idaho,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
17,Illinois,Synthetic opioids,1999,"Rate per 100,000",0.20468,8.1449068119999898E-2
18,Indiana,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
19,Iowa,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
20,Kansas,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
21,Kentucky,Synthetic opioids,1999,"Rate per 100,000",N/A,0.15338570156
22,Louisiana,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
23,Maine,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
24,Maryland,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
25,Massachusetts,Synthetic opioids,1999,"Rate per 100,000",N/A,9.3573328240000003E-2
26,Michigan,Synthetic opioids,1999,"Rate per 100,000",0.20505,9.0422071600000001E-2
27,Minnesota,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
28,Mississippi,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
29,Missouri,Synthetic opioids,1999,"Rate per 100,000",N/A,0.15100998359999901
30,Montana,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
31,Nebraska,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
32,Nevada,Synthetic opioids,1999,"Rate per 100,000",1.07205,0.46037970383999899
33,New Hampshire,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
34,New Jersey,Synthetic opioids,1999,"Rate per 100,000",0.27331,0.112083591759999
35,New Mexico,Synthetic opioids,1999,"Rate per 100,000",1.48335,0.57022771175999898
36,New York,Synthetic opioids,1999,"Rate per 100,000",N/A,4.0917894920000003E-2
37,North Carolina,Synthetic opioids,1999,"Rate per 100,000",0.33394,0.12629576932
38,North Dakota,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
39,Ohio,Synthetic opioids,1999,"Rate per 100,000",0.21988,8.8155115999999895E-2
40,Oklahoma,Synthetic opioids,1999,"Rate per 100,000",0.72619,0.29062601484
41,Oregon,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
42,Pennsylvania,Synthetic opioids,1999,"Rate per 100,000",0.20511,8.2894272159999893E-2
44,Rhode Island,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
45,South Carolina,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
46,South Dakota,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
47,Tennessee,Synthetic opioids,1999,"Rate per 100,000",N/A,0.14255571372
48,Texas,Synthetic opioids,1999,"Rate per 100,000",0.2308,6.5070904360000001E-2
49,Utah,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
50,Vermont,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
51,Virginia,Synthetic opioids,1999,"Rate per 100,000",0.2891,0.12370567048
53,Washington,Synthetic opioids,1999,"Rate per 100,000",0.3763,0.15399507536000001
54,West Virginia,Synthetic opioids,1999,"Rate per 100,000",N/A,0.37057658063999899
55,Wisconsin,Synthetic opioids,1999,"Rate per 100,000",N/A,0.15124348232000001
56,Wyoming,Synthetic opioids,1999,"Rate per 100,000",N/A,N/A
US,United States,Synthetic opioids,1999,"Rate per 100,000",0.25393,1.8517944759999901E-2
01,Alabama,Cocaine,2000,"Rate per 100,000",N/A,N/A
02,Alaska,Cocaine,2000,"Rate per 100,000",N/A,N/A
04,Arizona,Cocaine,2000,"Rate per 100,000",2.54091,0.44643649458885193
05,Arkansas,Cocaine,2000,"Rate per 100,000",N/A,N/A
