Indicator,"Prescription opioid painkiller sales in kilograms per 100,000 people by oxycodone and hydrocodone"
Source,"U.S. Drug Enforcement Agency's Automated Reports and Consolidated Ordering System (ARCOS) Retail Drug Summary Reports.<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,"The DEA ARCOS system records legal transactions of controlled substances, such as prescription opioids. Although there are other prescription opioids, oxycodone (also known by the brand names "Oxycontin" and "Percocet") and hydrocodone (also known by the brand names "Vicodin" and "Lortab") are the most common according to DEA ARCOS data."
Description,"Annual kilograms sold of oxycodone and hydrocodone per 100,000 people.<br />"
01,Alabama,Hydrocodone,2016,"Rate per 100,000",23.02324,
01,Alabama,Hydrocodone,2015,"Rate per 100,000",24.38306,
01,Alabama,Hydrocodone,2014,"Rate per 100,000",26.76161,
01,Alabama,Hydrocodone,2013,"Rate per 100,000",37.04516,
01,Alabama,Hydrocodone,2012,"Rate per 100,000",29.6958,
01,Alabama,Hydrocodone,2011,"Rate per 100,000",28.43895,
01,Alabama,Hydrocodone,2010,"Rate per 100,000",25.75433,
01,Alabama,Hydrocodone,2009,"Rate per 100,000",26.22844,
01,Alabama,Hydrocodone,2008,"Rate per 100,000",24.45732,
01,Alabama,Hydrocodone,2007,"Rate per 100,000",29.55838,
01,Alabama,Hydrocodone,2006,"Rate per 100,000",20.08382,
01,Alabama,Hydrocodone,2005,"Rate per 100,000",17.99939,
01,Alabama,Hydrocodone,2004,"Rate per 100,000",15.82898,
01,Alabama,Hydrocodone,2003,"Rate per 100,000",15.48852,
01,Alabama,Hydrocodone,2002,"Rate per 100,000",12.81029,
01,Alabama,Hydrocodone,2001,"Rate per 100,000",11.35396,
01,Alabama,Hydrocodone,2000,"Rate per 100,000",10.69559,
01,Alabama,Oxycodone,2016,"Rate per 100,000",22.23861,
01,Alabama,Oxycodone,2015,"Rate per 100,000",23.42426,
01,Alabama,Oxycodone,2014,"Rate per 100,000",22.75752,
01,Alabama,Oxycodone,2013,"Rate per 100,000",21.10334,
01,Alabama,Oxycodone,2012,"Rate per 100,000",20.99541,
01,Alabama,Oxycodone,2011,"Rate per 100,000",18.88156,
01,Alabama,Oxycodone,2010,"Rate per 100,000",16.14073,
01,Alabama,Oxycodone,2009,"Rate per 100,000",15.39002,
01,Alabama,Oxycodone,2008,"Rate per 100,000",14.42558,
01,Alabama,Oxycodone,2007,"Rate per 100,000",14.93061,
01,Alabama,Oxycodone,2006,"Rate per 100,000",11.98591,
01,Alabama,Oxycodone,2005,"Rate per 100,000",9.88653,
01,Alabama,Oxycodone,2004,"Rate per 100,000",9.10411,
01,Alabama,Oxycodone,2003,"Rate per 100,000",9.26128,
01,Alabama,Oxycodone,2002,"Rate per 100,000",7.80123,
01,Alabama,Oxycodone,2001,"Rate per 100,000",7.79399,
01,Alabama,Oxycodone,2000,"Rate per 100,000",6.74399,
02,Alaska,Oxycodone,2000,"Rate per 100,000",11.66468,
02,Alaska,Oxycodone,2001,"Rate per 100,000",17.29422,
02,Alaska,Oxycodone,2002,"Rate per 100,000",17.20578,
02,Alaska,Oxycodone,2003,"Rate per 100,000",15.64646,
02,Alaska,Oxycodone,2004,"Rate per 100,000",15.96,
02,Alaska,Oxycodone,2005,"Rate per 100,000",14.65725,
02,Alaska,Oxycodone,2006,"Rate per 100,000",15.42679,
02,Alaska,Oxycodone,2007,"Rate per 100,000",16.4142,
02,Alaska,Oxycodone,2008,"Rate per 100,000",18.21122,
02,Alaska,Oxycodone,2009,"Rate per 100,000",19.36936,
02,Alaska,Oxycodone,2010,"Rate per 100,000",18.20163,
02,Alaska,Oxycodone,2011,"Rate per 100,000",19.555,
02,Alaska,Oxycodone,2012,"Rate per 100,000",20.70067,
02,Alaska,Oxycodone,2013,"Rate per 100,000",20.32358,
02,Alaska,Oxycodone,2014,"Rate per 100,000",20.69738,
02,Alaska,Oxycodone,2015,"Rate per 100,000",21.49059,
02,Alaska,Oxycodone,2016,"Rate per 100,000",21.16648,
02,Alaska,Hydrocodone,2000,"Rate per 100,000",4.23627,
02,Alaska,Hydrocodone,2001,"Rate per 100,000",5.05087,
02,Alaska,Hydrocodone,2002,"Rate per 100,000",5.74049,
02,Alaska,Hydrocodone,2003,"Rate per 100,000",6.47207,
02,Alaska,Hydrocodone,2004,"Rate per 100,000",6.91439,
02,Alaska,Hydrocodone,2005,"Rate per 100,000",7.12695,
02,Alaska,Hydrocodone,2006,"Rate per 100,000",7.83223,
02,Alaska,Hydrocodone,2007,"Rate per 100,000",8.66877,
02,Alaska,Hydrocodone,2008,"Rate per 100,000",9.39256,
02,Alaska,Hydrocodone,2009,"Rate per 100,000",9.84003,
02,Alaska,Hydrocodone,2010,"Rate per 100,000",8.94792,
02,Alaska,Hydrocodone,2011,"Rate per 100,000",9.47216,
02,Alaska,Hydrocodone,2012,"Rate per 100,000",9.49849,
02,Alaska,Hydrocodone,2013,"Rate per 100,000",9.39149,
02,Alaska,Hydrocodone,2014,"Rate per 100,000",8.98112,
02,Alaska,Hydrocodone,2015,"Rate per 100,000",8.13675,
02,Alaska,Hydrocodone,2016,"Rate per 100,000",7.43868,
02,Alaska,Oxycodone,2017,"Rate per 100,000",19.39345,
02,Alaska,Hydrocodone,2017,"Rate per 100,000",6.25486,
04,Arizona,Hydrocodone,2017,"Rate per 100,000",6.3194,
04,Arizona,Oxycodone,2017,"Rate per 100,000",26.60187,
04,Arizona,Hydrocodone,2016,"Rate per 100,000",7.32528,
04,Arizona,Hydrocodone,2015,"Rate per 100,000",7.98616,
04,Arizona,Hydrocodone,2014,"Rate per 100,000",9.95986,
04,Arizona,Hydrocodone,2013,"Rate per 100,000",10.35919,
04,Arizona,Hydrocodone,2012,"Rate per 100,000",10.48663,
04,Arizona,Hydrocodone,2011,"Rate per 100,000",10.50908,
04,Arizona,Hydrocodone,2010,"Rate per 100,000",9.61838,
04,Arizona,Hydrocodone,2009,"Rate per 100,000",11.65743,
04,Arizona,Hydrocodone,2008,"Rate per 100,000",10.94692,
04,Arizona,Hydrocodone,2007,"Rate per 100,000",10.49671,
04,Arizona,Hydrocodone,2006,"Rate per 100,000",9.36985,
04,Arizona,Hydrocodone,2005,"Rate per 100,000",8.45315,
04,Arizona,Hydrocodone,2004,"Rate per 100,000",8.31719,
04,Arizona,Hydrocodone,2003,"Rate per 100,000",7.26254,
04,Arizona,Hydrocodone,2002,"Rate per 100,000",6.12019,
04,Arizona,Hydrocodone,2001,"Rate per 100,000",5.32648,
04,Arizona,Hydrocodone,2000,"Rate per 100,000",4.42918,
04,Arizona,Oxycodone,2016,"Rate per 100,000",30.75284,
04,Arizona,Oxycodone,2015,"Rate per 100,000",32.38275,
04,Arizona,Oxycodone,2014,"Rate per 100,000",33.07677,
04,Arizona,Oxycodone,2013,"Rate per 100,000",32.48752,
04,Arizona,Oxycodone,2012,"Rate per 100,000",34.61801,
04,Arizona,Oxycodone,2011,"Rate per 100,000",31.92624,
04,Arizona,Oxycodone,2010,"Rate per 100,000",28.86066,
04,Arizona,Oxycodone,2009,"Rate per 100,000",32.82813,
04,Arizona,Oxycodone,2008,"Rate per 100,000",29.27255,
04,Arizona,Oxycodone,2007,"Rate per 100,000",40.87166,
04,Arizona,Oxycodone,2006,"Rate per 100,000",23.97781,
04,Arizona,Oxycodone,2005,"Rate per 100,000",19.97417,
04,Arizona,Oxycodone,2004,"Rate per 100,000",17.5889,
04,Arizona,Oxycodone,2003,"Rate per 100,000",15.39839,
04,Arizona,Oxycodone,2002,"Rate per 100,000",12.74315,
04,Arizona,Oxycodone,2001,"Rate per 100,000",11.27272,
04,Arizona,Oxycodone,2000,"Rate per 100,000",8.1909,
05,Arkansas,Oxycodone,2000,"Rate per 100,000",4.5602,
05,Arkansas,Oxycodone,2001,"Rate per 100,000",5.88981,
05,Arkansas,Oxycodone,2002,"Rate per 100,000",6.51563,
05,Arkansas,Oxycodone,2003,"Rate per 100,000",7.46912,
05,Arkansas,Oxycodone,2004,"Rate per 100,000",9.49072,
05,Arkansas,Oxycodone,2005,"Rate per 100,000",11.4243,
05,Arkansas,Oxycodone,2006,"Rate per 100,000",11.81984,
05,Arkansas,Oxycodone,2007,"Rate per 100,000",14.38313,
05,Arkansas,Oxycodone,2008,"Rate per 100,000",14.96242,
05,Arkansas,Oxycodone,2009,"Rate per 100,000",16.97316,
05,Arkansas,Oxycodone,2010,"Rate per 100,000",17.70537,
05,Arkansas,Oxycodone,2011,"Rate per 100,000",19.06231,
05,Arkansas,Oxycodone,2012,"Rate per 100,000",20.79952,
05,Arkansas,Oxycodone,2013,"Rate per 100,000",20.08774,
05,Arkansas,Oxycodone,2014,"Rate per 100,000",21.56404,
05,Arkansas,Oxycodone,2015,"Rate per 100,000",22.94648,
05,Arkansas,Oxycodone,2016,"Rate per 100,000",21.7345,
05,Arkansas,Hydrocodone,2000,"Rate per 100,000",6.6796,
05,Arkansas,Hydrocodone,2001,"Rate per 100,000",7.74932,
05,Arkansas,Hydrocodone,2002,"Rate per 100,000",9.2347,
05,Arkansas,Hydrocodone,2003,"Rate per 100,000",10.48047,
05,Arkansas,Hydrocodone,2004,"Rate per 100,000",11.43696,
05,Arkansas,Hydrocodone,2005,"Rate per 100,000",12.5478,
05,Arkansas,Hydrocodone,2006,"Rate per 100,000",14.73851,
05,Arkansas,Hydrocodone,2007,"Rate per 100,000",17.47319,
05,Arkansas,Hydrocodone,2008,"Rate per 100,000",18.13776,
05,Arkansas,Hydrocodone,2009,"Rate per 100,000",19.78716,
05,Arkansas,Hydrocodone,2010,"Rate per 100,000",19.65407,
05,Arkansas,Hydrocodone,2011,"Rate per 100,000",21.32759,
05,Arkansas,Hydrocodone,2012,"Rate per 100,000",22.18987,
05,Arkansas,Hydrocodone,2013,"Rate per 100,000",23.56239,
05,Arkansas,Hydrocodone,2014,"Rate per 100,000",22.5121,
05,Arkansas,Hydrocodone,2015,"Rate per 100,000",20.24267,
05,Arkansas,Hydrocodone,2016,"Rate per 100,000",19.64221,
05,Arkansas,Oxycodone,2017,"Rate per 100,000",19.82181,
05,Arkansas,Hydrocodone,2017,"Rate per 100,000",18.12302,
06,California,Hydrocodone,2017,"Rate per 100,000",9.7409,
06,California,Oxycodone,2017,"Rate per 100,000",9.2683,
06,California,Hydrocodone,2016,"Rate per 100,000",10.92161,
06,California,Hydrocodone,2015,"Rate per 100,000",11.95722,
06,California,Hydrocodone,2014,"Rate per 100,000",13.03133,
06,California,Hydrocodone,2013,"Rate per 100,000",13.60305,
06,California,Hydrocodone,2012,"Rate per 100,000",13.75928,
06,California,Hydrocodone,2011,"Rate per 100,000",13.70494,
06,California,Hydrocodone,2010,"Rate per 100,000",12.37742,
06,California,Hydrocodone,2009,"Rate per 100,000",13.24202,
06,California,Hydrocodone,2008,"Rate per 100,000",12.47553,
06,California,Hydrocodone,2007,"Rate per 100,000",11.76012,
06,California,Hydrocodone,2006,"Rate per 100,000",10.48273,
06,California,Hydrocodone,2005,"Rate per 100,000",9.62567,
06,California,Hydrocodone,2004,"Rate per 100,000",9.76293,
06,California,Hydrocodone,2003,"Rate per 100,000",9.06399,
06,California,Hydrocodone,2002,"Rate per 100,000",7.56166,
06,California,Hydrocodone,2001,"Rate per 100,000",6.35395,
06,California,Hydrocodone,2000,"Rate per 100,000",5.75942,
06,California,Oxycodone,2016,"Rate per 100,000",10.49034,
06,California,Oxycodone,2015,"Rate per 100,000",11.29211,
06,California,Oxycodone,2014,"Rate per 100,000",11.45812,
06,California,Oxycodone,2013,"Rate per 100,000",11.94668,
06,California,Oxycodone,2012,"Rate per 100,000",12.40723,
06,California,Oxycodone,2011,"Rate per 100,000",11.83467,
06,California,Oxycodone,2010,"Rate per 100,000",11.65736,
06,California,Oxycodone,2009,"Rate per 100,000",12.43062,
06,California,Oxycodone,2008,"Rate per 100,000",11.09871,
06,California,Oxycodone,2007,"Rate per 100,000",10.27364,
06,California,Oxycodone,2006,"Rate per 100,000",8.31454,
06,California,Oxycodone,2005,"Rate per 100,000",7.10785,
06,California,Oxycodone,2004,"Rate per 100,000",6.45332,
06,California,Oxycodone,2003,"Rate per 100,000",5.98438,
06,California,Oxycodone,2002,"Rate per 100,000",4.87753,
06,California,Oxycodone,2001,"Rate per 100,000",3.82506,
06,California,Oxycodone,2000,"Rate per 100,000",2.57246,
08,Colorado,Oxycodone,2000,"Rate per 100,000",4.76166,
08,Colorado,Oxycodone,2001,"Rate per 100,000",7.07175,
08,Colorado,Oxycodone,2002,"Rate per 100,000",8.36588,
08,Colorado,Oxycodone,2003,"Rate per 100,000",9.63019,
08,Colorado,Oxycodone,2004,"Rate per 100,000",10.53256,
08,Colorado,Oxycodone,2005,"Rate per 100,000",11.17252,
08,Colorado,Oxycodone,2006,"Rate per 100,000",13.68083,
08,Colorado,Oxycodone,2007,"Rate per 100,000",17.30655,
08,Colorado,Oxycodone,2008,"Rate per 100,000",18.99569,
08,Colorado,Oxycodone,2009,"Rate per 100,000",20.44742,
08,Colorado,Oxycodone,2010,"Rate per 100,000",19.84961,
08,Colorado,Oxycodone,2011,"Rate per 100,000",22.85498,
08,Colorado,Oxycodone,2012,"Rate per 100,000",24.74988,
08,Colorado,Oxycodone,2013,"Rate per 100,000",22.07655,
08,Colorado,Oxycodone,2014,"Rate per 100,000",21.61937,
08,Colorado,Oxycodone,2015,"Rate per 100,000",21.38307,
08,Colorado,Oxycodone,2016,"Rate per 100,000",20.00624,
08,Colorado,Hydrocodone,2000,"Rate per 100,000",3.92234,
08,Colorado,Hydrocodone,2001,"Rate per 100,000",4.74618,
08,Colorado,Hydrocodone,2002,"Rate per 100,000",5.23684,
08,Colorado,Hydrocodone,2003,"Rate per 100,000",5.94077,
08,Colorado,Hydrocodone,2004,"Rate per 100,000",6.22551,
08,Colorado,Hydrocodone,2005,"Rate per 100,000",7.68381,
08,Colorado,Hydrocodone,2006,"Rate per 100,000",6.84815,
08,Colorado,Hydrocodone,2007,"Rate per 100,000",7.68062,
08,Colorado,Hydrocodone,2008,"Rate per 100,000",8.67767,
08,Colorado,Hydrocodone,2009,"Rate per 100,000",8.65058,
08,Colorado,Hydrocodone,2010,"Rate per 100,000",7.56056,
08,Colorado,Hydrocodone,2011,"Rate per 100,000",8.25955,
08,Colorado,Hydrocodone,2012,"Rate per 100,000",7.85995,
08,Colorado,Hydrocodone,2013,"Rate per 100,000",7.60425,
08,Colorado,Hydrocodone,2014,"Rate per 100,000",7.12268,
08,Colorado,Hydrocodone,2015,"Rate per 100,000",6.33371,
08,Colorado,Hydrocodone,2016,"Rate per 100,000",5.75745,
08,Colorado,Oxycodone,2017,"Rate per 100,000",17.74817,
08,Colorado,Hydrocodone,2017,"Rate per 100,000",5.1686,
09,Connecticut,Hydrocodone,2017,"Rate per 100,000",2.24854,
09,Connecticut,Oxycodone,2017,"Rate per 100,000",18.54943,
09,Connecticut,Hydrocodone,2016,"Rate per 100,000",2.70456,
09,Connecticut,Hydrocodone,2015,"Rate per 100,000",3.18985,
09,Connecticut,Hydrocodone,2014,"Rate per 100,000",3.86389,
09,Connecticut,Hydrocodone,2013,"Rate per 100,000",4.30323,
09,Connecticut,Hydrocodone,2012,"Rate per 100,000",4.55794,
09,Connecticut,Hydrocodone,2011,"Rate per 100,000",4.94219,
09,Connecticut,Hydrocodone,2010,"Rate per 100,000",4.48795,
09,Connecticut,Hydrocodone,2009,"Rate per 100,000",4.88047,
09,Connecticut,Hydrocodone,2008,"Rate per 100,000",4.95348,
09,Connecticut,Hydrocodone,2007,"Rate per 100,000",4.59407,
09,Connecticut,Hydrocodone,2006,"Rate per 100,000",3.99754,
09,Connecticut,Hydrocodone,2005,"Rate per 100,000",4.20813,
09,Connecticut,Hydrocodone,2004,"Rate per 100,000",3.67812,
09,Connecticut,Hydrocodone,2003,"Rate per 100,000",3.85066,
09,Connecticut,Hydrocodone,2002,"Rate per 100,000",3.58762,
09,Connecticut,Hydrocodone,2001,"Rate per 100,000",2.79866,
09,Connecticut,Hydrocodone,2000,"Rate per 100,000",3.01738,
09,Connecticut,Oxycodone,2016,"Rate per 100,000",22.0836,
09,Connecticut,Oxycodone,2015,"Rate per 100,000",25.22296,
09,Connecticut,Oxycodone,2014,"Rate per 100,000",27.17646,
09,Connecticut,Oxycodone,2013,"Rate per 100,000",28.25519,
09,Connecticut,Oxycodone,2012,"Rate per 100,000",28.68816,
09,Connecticut,Oxycodone,2011,"Rate per 100,000",26.63045,
09,Connecticut,Oxycodone,2010,"Rate per 100,000",25.98948,
09,Connecticut,Oxycodone,2009,"Rate per 100,000",25.24122,
09,Connecticut,Oxycodone,2008,"Rate per 100,000",23.64935,
09,Connecticut,Oxycodone,2007,"Rate per 100,000",22.87716,
09,Connecticut,Oxycodone,2006,"Rate per 100,000",20.28657,
09,Connecticut,Oxycodone,2005,"Rate per 100,000",18.08532,
09,Connecticut,Oxycodone,2004,"Rate per 100,000",18.8566,
09,Connecticut,Oxycodone,2003,"Rate per 100,000",16.43987,
09,Connecticut,Oxycodone,2002,"Rate per 100,000",14.00725,
09,Connecticut,Oxycodone,2001,"Rate per 100,000",12.59439,
09,Connecticut,Oxycodone,2000,"Rate per 100,000",10.31355,
10,Delaware,Oxycodone,2000,"Rate per 100,000",10.44289,
10,Delaware,Oxycodone,2001,"Rate per 100,000",11.8738,
10,Delaware,Oxycodone,2002,"Rate per 100,000",14.06508,
10,Delaware,Oxycodone,2003,"Rate per 100,000",20.71093,
10,Delaware,Oxycodone,2004,"Rate per 100,000",21.23004,
10,Delaware,Oxycodone,2005,"Rate per 100,000",25.3578,
10,Delaware,Oxycodone,2006,"Rate per 100,000",29.03029,
10,Delaware,Oxycodone,2007,"Rate per 100,000",36.16889,
10,Delaware,Oxycodone,2008,"Rate per 100,000",46.5959,
10,Delaware,Oxycodone,2009,"Rate per 100,000",54.60294,
10,Delaware,Oxycodone,2010,"Rate per 100,000",56.37074,
10,Delaware,Oxycodone,2011,"Rate per 100,000",61.85538,
10,Delaware,Oxycodone,2012,"Rate per 100,000",48.54379,
10,Delaware,Oxycodone,2013,"Rate per 100,000",40.74571,
10,Delaware,Oxycodone,2014,"Rate per 100,000",38.69969,
10,Delaware,Oxycodone,2015,"Rate per 100,000",35.54891,
10,Delaware,Oxycodone,2016,"Rate per 100,000",33.72506,
10,Delaware,Hydrocodone,2000,"Rate per 100,000",2.90716,
10,Delaware,Hydrocodone,2001,"Rate per 100,000",2.78184,
10,Delaware,Hydrocodone,2002,"Rate per 100,000",3.44298,
10,Delaware,Hydrocodone,2003,"Rate per 100,000",4.11224,
10,Delaware,Hydrocodone,2004,"Rate per 100,000",4.46418,
10,Delaware,Hydrocodone,2005,"Rate per 100,000",4.79785,
10,Delaware,Hydrocodone,2006,"Rate per 100,000",5.21821,
10,Delaware,Hydrocodone,2007,"Rate per 100,000",5.46379,
10,Delaware,Hydrocodone,2008,"Rate per 100,000",5.90033,
10,Delaware,Hydrocodone,2009,"Rate per 100,000",5.94377,
10,Delaware,Hydrocodone,2010,"Rate per 100,000",4.97777,
10,Delaware,Hydrocodone,2011,"Rate per 100,000",5.20382,
10,Delaware,Hydrocodone,2012,"Rate per 100,000",4.69506,
10,Delaware,Hydrocodone,2013,"Rate per 100,000",4.2489,
10,Delaware,Hydrocodone,2014,"Rate per 100,000",3.90106,
10,Delaware,Hydrocodone,2015,"Rate per 100,000",3.41764,
10,Delaware,Hydrocodone,2016,"Rate per 100,000",3.10607,
10,Delaware,Oxycodone,2017,"Rate per 100,000",30.49302,
10,Delaware,Hydrocodone,2017,"Rate per 100,000",2.66257,
11,Dist. of Columbia,Hydrocodone,2017,"Rate per 100,000",0.9556,
11,Dist. of Columbia,Oxycodone,2017,"Rate per 100,000",9.66491,
11,Dist. of Columbia,Hydrocodone,2016,"Rate per 100,000",1.14269,
11,Dist. of Columbia,Hydrocodone,2015,"Rate per 100,000",1.27697,
11,Dist. of Columbia,Hydrocodone,2014,"Rate per 100,000",1.55779,
11,Dist. of Columbia,Hydrocodone,2013,"Rate per 100,000",1.91097,
11,Dist. of Columbia,Hydrocodone,2012,"Rate per 100,000",1.92457,
11,Dist. of Columbia,Hydrocodone,2011,"Rate per 100,000",1.94966,
11,Dist. of Columbia,Hydrocodone,2010,"Rate per 100,000",1.87051,
11,Dist. of Columbia,Hydrocodone,2009,"Rate per 100,000",1.9844,
11,Dist. of Columbia,Hydrocodone,2008,"Rate per 100,000",1.93468,
11,Dist. of Columbia,Hydrocodone,2007,"Rate per 100,000",4.34075,
11,Dist. of Columbia,Hydrocodone,2006,"Rate per 100,000",2.29428,
11,Dist. of Columbia,Hydrocodone,2005,"Rate per 100,000",1.74058,
11,Dist. of Columbia,Hydrocodone,2004,"Rate per 100,000",1.49651,
11,Dist. of Columbia,Hydrocodone,2003,"Rate per 100,000",1.73541,
11,Dist. of Columbia,Hydrocodone,2002,"Rate per 100,000",1.53332,
11,Dist. of Columbia,Hydrocodone,2001,"Rate per 100,000",1.32637,
11,Dist. of Columbia,Hydrocodone,2000,"Rate per 100,000",1.40475,
11,Dist. of Columbia,Oxycodone,2016,"Rate per 100,000",11.12632,
11,Dist. of Columbia,Oxycodone,2015,"Rate per 100,000",12.27226,
11,Dist. of Columbia,Oxycodone,2014,"Rate per 100,000",12.83371,
11,Dist. of Columbia,Oxycodone,2013,"Rate per 100,000",13.56559,
11,Dist. of Columbia,Oxycodone,2012,"Rate per 100,000",13.87305,
11,Dist. of Columbia,Oxycodone,2011,"Rate per 100,000",13.90293,
11,Dist. of Columbia,Oxycodone,2010,"Rate per 100,000",12.35905,
11,Dist. of Columbia,Oxycodone,2009,"Rate per 100,000",12.07414,
11,Dist. of Columbia,Oxycodone,2008,"Rate per 100,000",10.5228,
11,Dist. of Columbia,Oxycodone,2007,"Rate per 100,000",10.60464,
11,Dist. of Columbia,Oxycodone,2006,"Rate per 100,000",9.76484,
11,Dist. of Columbia,Oxycodone,2005,"Rate per 100,000",9.7912,
11,Dist. of Columbia,Oxycodone,2004,"Rate per 100,000",8.88161,
11,Dist. of Columbia,Oxycodone,2003,"Rate per 100,000",9.15258,
11,Dist. of Columbia,Oxycodone,2002,"Rate per 100,000",6.86246,
11,Dist. of Columbia,Oxycodone,2001,"Rate per 100,000",6.34473,
11,Dist. of Columbia,Oxycodone,2000,"Rate per 100,000",6.06086,
12,Florida,Oxycodone,2000,"Rate per 100,000",10.37563,
12,Florida,Oxycodone,2001,"Rate per 100,000",13.60561,
12,Florida,Oxycodone,2002,"Rate per 100,000",14.44077,
12,Florida,Oxycodone,2003,"Rate per 100,000",16.50698,
12,Florida,Oxycodone,2004,"Rate per 100,000",17.3962,
12,Florida,Oxycodone,2005,"Rate per 100,000",18.37075,
12,Florida,Oxycodone,2006,"Rate per 100,000",24.76977,
12,Florida,Oxycodone,2007,"Rate per 100,000",38.41791,
12,Florida,Oxycodone,2008,"Rate per 100,000",45.42102,
12,Florida,Oxycodone,2009,"Rate per 100,000",59.1763,
12,Florida,Oxycodone,2010,"Rate per 100,000",66.39032,
12,Florida,Oxycodone,2011,"Rate per 100,000",48.98059,
12,Florida,Oxycodone,2012,"Rate per 100,000",28.95293,
12,Florida,Oxycodone,2013,"Rate per 100,000",21.40905,
12,Florida,Oxycodone,2014,"Rate per 100,000",20.48162,
12,Florida,Oxycodone,2015,"Rate per 100,000",20.83577,
12,Florida,Oxycodone,2016,"Rate per 100,000",21.72925,
12,Florida,Hydrocodone,2000,"Rate per 100,000",6.49998,
12,Florida,Hydrocodone,2001,"Rate per 100,000",7.30513,
12,Florida,Hydrocodone,2002,"Rate per 100,000",8.47521,
12,Florida,Hydrocodone,2003,"Rate per 100,000",10.60529,
12,Florida,Hydrocodone,2004,"Rate per 100,000",12.36539,
12,Florida,Hydrocodone,2005,"Rate per 100,000",12.73689,
12,Florida,Hydrocodone,2006,"Rate per 100,000",14.32092,
12,Florida,Hydrocodone,2007,"Rate per 100,000",14.0869,
12,Florida,Hydrocodone,2008,"Rate per 100,000",12.42773,
12,Florida,Hydrocodone,2009,"Rate per 100,000",12.69297,
12,Florida,Hydrocodone,2010,"Rate per 100,000",10.59978,
12,Florida,Hydrocodone,2011,"Rate per 100,000",11.06459,
12,Florida,Hydrocodone,2012,"Rate per 100,000",10.06837,
12,Florida,Hydrocodone,2013,"Rate per 100,000",10.61765,
12,Florida,Hydrocodone,2014,"Rate per 100,000",9.73875,
12,Florida,Hydrocodone,2015,"Rate per 100,000",8.66725,
12,Florida,Hydrocodone,2016,"Rate per 100,000",8.28925,
